ID,gardian_gender_T1,gardian_age_T1,prefecture_T1,area_T1,married_T1,familyincome_T1,pinincome_T1,job_T1,child_gender_T1,hsc1_T1,hsc2_T1,hsc3_T1,hsc4_T1,hsc5_T1,hsc6_T1,hsc7_T1,hsc8_T1,hsc9_T1,hsc10_T1,hsc11_T1,hsc12_T1,health1_T1,health2_T1,health3_T1,health4_T1,health5_T1,panas1_T1,panas2_T1,panas3_T1,panas4_T1,panas5_T1,panas6_T1,panas7_T1,panas8_T1,panas9_T1,panas10_T1,panas11_T1,panas12_T1,panas13_T1,panas14_T1,panas15_T1,panas16_T1
4065048,0,51,15,4,2,2,2,5,0,5,5,4,4,6,4,3,4,3,5,3,5,2,3,4,3,4,3,4,3,3,3,4,4,4,4,3,4,4,3,3,3,4
4069532,0,53,1,1,2,5,4,6,1,4,4,4,4,3,4,3,4,4,3,4,4,4,3,2,5,3,1,4,1,1,1,3,3,4,1,3,1,3,1,1,1,2
4072997,1,42,27,5,2,10,10,8,1,6,2,6,4,6,4,7,5,4,7,5,4,3,3,3,3,3,3,5,3,3,3,5,4,5,3,5,2,3,3,4,4,3
4076037,0,43,28,5,2,4,4,5,1,2,2,4,4,7,4,6,4,4,6,4,3,4,4,4,4,4,1,4,1,4,2,2,2,4,3,4,3,3,1,2,3,3
4094032,1,45,14,3,2,10,10,8,0,6,4,6,4,6,4,7,4,4,7,6,3,4,4,4,4,5,1,5,1,4,1,4,2,4,2,4,2,5,1,4,2,4
4118119,1,54,13,3,2,4,1,8,1,5,4,5,4,6,5,6,4,4,6,4,5,5,4,4,5,3,2,4,2,4,2,4,4,4,3,4,4,4,3,4,3,3
4132691,0,42,41,8,2,4,3,5,0,3,5,5,6,5,6,6,5,5,6,4,4,1,2,3,2,2,5,3,5,2,4,2,5,2,5,2,6,2,4,2,5,1
4152490,0,47,27,5,2,5,5,3,1,4,4,4,4,7,7,4,5,4,6,4,6,3,2,2,3,3,1,3,1,3,3,3,4,4,3,3,4,3,3,3,5,2
4152507,1,38,40,8,2,2,1,8,0,5,5,4,3,3,3,3,4,5,5,4,4,2,3,4,4,3,2,5,2,2,2,3,2,4,4,3,3,3,3,3,3,2
4161030,0,50,13,3,2,5,5,4,1,5,4,5,3,6,4,4,4,3,6,4,4,5,4,4,4,4,3,4,3,3,3,4,3,4,3,4,4,4,3,4,3,4
4170425,1,44,28,5,2,.,.,8,0,5,5,4,5,6,5,5,6,6,7,6,6,4,3,3,1,3,2,4,2,3,3,4,5,5,5,3,2,4,3,3,2,3
4173163,1,40,13,3,2,5,1,8,0,2,5,4,5,4,4,3,4,5,5,5,5,4,4,4,3,3,3,4,3,3,3,3,4,3,4,3,3,4,3,3,4,3
4177693,0,46,13,3,2,5,5,1,1,5,3,5,3,5,3,6,4,3,7,5,5,4,4,4,5,5,2,5,2,5,2,4,2,4,2,5,2,5,2,4,2,3
4181047,1,44,23,4,2,3,1,9,0,6,4,3,3,6,4,5,4,4,6,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
4187437,0,53,23,4,2,3,3,1,0,4,5,5,5,3,5,6,5,4,6,6,4,4,4,4,3,2,3,3,3,4,3,3,4,4,4,4,3,4,3,3,4,3
4187544,0,50,13,3,2,7,7,4,0,5,2,7,4,5,4,4,3,3,7,4,4,3,3,3,3,3,2,4,2,3,5,3,5,3,5,2,2,3,4,3,2,2
4197692,1,42,46,8,2,.,.,3,0,2,2,4,1,5,5,3,5,6,6,5,7,1,2,2,5,2,2,2,2,2,2,3,2,3,5,2,3,2,1,3,3,1
6234491,1,41,11,3,2,3,1,9,1,5,6,5,2,7,7,7,7,3,7,3,7,2,2,5,2,3,4,5,3,5,2,5,5,4,5,4,6,4,6,4,6,4
6239668,0,46,38,7,2,2,2,6,1,5,6,6,5,4,6,6,5,4,7,6,5,2,2,2,4,4,3,2,3,2,3,2,5,3,3,3,2,3,2,2,4,1
6248726,0,48,26,5,2,.,.,6,1,4,4,5,5,7,4,4,4,3,6,4,4,6,6,4,6,4,3,4,2,3,3,3,4,3,3,3,3,4,3,3,3,3
6249988,1,44,13,3,2,.,.,8,1,3,2,5,7,7,7,1,7,5,5,5,6,5,2,2,4,3,4,3,4,3,4,2,5,2,2,2,4,3,1,2,4,1
6257418,0,48,10,3,2,3,3,1,1,4,5,4,4,4,4,5,4,4,4,4,4,2,2,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5,3
6261143,1,46,6,2,2,.,.,3,0,5,5,3,4,6,5,5,5,5,6,4,4,5,5,5,5,6,3,5,3,4,3,4,3,4,3,4,3,5,3,3,3,4
6270003,1,46,27,5,2,3,1,9,0,4,5,4,6,3,4,2,4,4,3,5,4,3,3,3,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,4,3
6323932,0,47,14,3,2,6,4,4,0,3,3,4,2,6,7,5,7,4,7,5,4,3,3,3,4,4,2,2,3,3,3,3,4,3,4,3,5,4,2,2,3,1
6331223,0,46,14,3,2,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
6344916,1,42,12,3,2,.,.,8,1,4,2,5,6,6,6,6,6,6,7,4,6,4,4,4,4,4,3,4,3,4,3,3,3,4,3,4,4,4,4,4,4,4
6404992,1,44,44,8,2,2,1,8,0,3,7,4,7,4,7,4,7,7,7,7,7,2,3,2,2,3,4,2,5,3,4,1,6,2,6,3,5,2,3,4,5,3
6414775,0,44,27,5,2,.,.,5,0,4,3,5,3,6,4,6,4,3,7,2,4,6,6,6,5,5,2,5,2,4,2,3,3,4,3,5,1,6,2,3,2,3
6474046,0,47,36,7,2,2,2,11,1,6,5,5,4,5,4,4,3,3,6,6,5,4,3,2,3,2,1,4,1,3,2,3,4,4,5,3,4,2,3,2,5,2
6500403,1,46,26,5,2,4,1,9,0,4,4,5,5,5,6,2,3,4,6,2,6,4,4,3,3,3,2,4,1,3,3,3,3,3,3,5,3,5,3,3,4,4
6514356,1,48,28,5,2,2,1,8,1,4,5,5,5,5,5,6,4,4,7,5,7,3,3,4,4,2,3,4,3,2,3,3,4,4,4,3,3,4,2,3,3,3
6514559,0,44,1,1,2,2,2,5,1,5,3,6,4,5,5,5,4,3,6,6,5,4,3,4,3,3,2,4,2,3,3,3,3,3,4,3,5,4,4,3,4,3
6528096,0,48,40,8,2,3,3,1,0,5,4,5,3,6,4,6,4,4,7,3,4,4,4,4,4,3,3,5,3,5,3,4,3,4,4,3,5,4,3,4,4,4
6529886,0,53,13,3,2,4,4,3,1,5,5,7,6,7,5,7,4,4,7,7,6,5,5,3,5,4,3,4,3,3,3,3,4,3,3,4,3,3,3,3,3,3
6594237,0,45,1,1,2,3,2,5,1,4,2,1,2,3,2,5,3,4,1,2,1,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
6664433,1,41,20,4,2,3,1,9,1,6,3,5,3,6,7,4,3,5,7,7,6,3,2,2,2,2,5,2,4,2,4,4,3,3,5,3,5,3,5,2,5,2
6666715,0,47,12,3,2,3,3,5,0,4,4,4,4,5,3,4,3,4,5,4,5,4,3,4,4,3,2,4,2,3,2,2,4,4,3,3,3,3,3,3,3,3
6681468,1,45,40,8,2,.,.,6,1,4,4,6,4,7,5,3,4,3,7,4,3,2,2,5,4,2,2,4,2,4,3,3,4,5,4,4,4,3,2,4,4,3
6718295,0,52,38,7,2,3,3,4,1,5,6,5,5,5,6,5,6,5,7,7,5,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
6720856,0,52,13,3,2,6,6,3,1,5,6,6,4,6,5,6,5,5,7,6,5,3,3,4,3,3,3,4,3,3,3,4,5,4,4,4,4,3,3,3,4,3
6727158,0,51,12,3,2,3,3,6,0,5,4,5,4,5,5,6,5,4,6,4,4,4,5,4,4,3,1,4,2,3,3,2,4,3,3,3,2,4,3,2,2,2
6728848,0,52,26,5,2,4,4,1,1,4,4,4,5,4,5,5,5,4,6,6,5,3,3,3,3,3,2,4,2,2,2,2,3,3,3,3,3,4,3,3,4,3
6816623,0,50,13,3,2,5,4,3,1,5,5,5,5,5,6,5,5,6,5,2,4,5,5,5,2,5,1,5,2,5,2,5,5,4,2,2,2,4,2,2,5,4
6820894,0,37,34,6,2,3,3,5,1,4,3,4,5,5,5,5,4,4,5,4,5,4,3,3,3,3,2,3,3,3,3,3,4,3,4,4,3,3,3,3,4,4
6824515,1,48,35,6,1,5,5,5,0,4,4,6,3,3,3,4,4,4,4,5,4,2,2,5,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3
6918296,1,47,40,8,2,5,1,9,0,3,3,4,5,6,5,4,4,4,6,4,4,2,1,4,1,1,2,4,2,4,3,3,4,4,3,3,4,2,3,3,4,2
6932075,0,52,39,7,1,3,2,1,0,3,2,4,2,6,4,6,4,5,7,4,4,4,4,4,3,1,1,4,1,4,1,4,4,4,2,3,2,4,2,3,3,2
6936080,0,59,26,5,2,1,1,12,1,5,5,4,3,5,6,6,6,5,6,6,6,3,3,3,4,3,2,5,2,5,2,5,3,4,2,4,3,5,2,5,2,3
7010226,1,46,26,5,1,1,1,9,0,3,3,4,3,2,4,4,4,3,7,4,4,3,3,3,3,3,1,4,1,1,1,4,1,4,4,1,1,4,1,1,4,1
7019504,1,58,29,5,2,3,1,12,0,2,4,4,4,4,4,4,4,3,7,4,4,4,5,5,5,5,2,4,3,3,3,3,3,4,2,4,2,3,1,3,3,3
7103724,0,44,40,8,2,3,1,12,1,3,5,5,6,6,6,5,6,4,7,6,6,3,2,4,4,2,4,3,3,4,4,2,4,5,4,3,3,3,3,2,4,3
7143549,0,57,43,8,2,4,1,6,1,5,7,6,4,6,4,5,4,2,7,7,4,3,3,3,3,4,3,4,2,3,3,4,3,5,4,2,3,5,3,2,4,3
7169275,0,34,38,7,2,2,2,5,1,4,7,7,7,6,7,7,7,6,7,6,4,6,6,3,6,2,1,4,4,4,3,3,1,4,1,4,3,3,1,4,1,2
7187858,0,42,1,1,2,3,3,5,0,5,3,3,5,3,5,5,5,3,2,3,3,4,3,3,3,4,3,4,3,4,3,3,4,4,3,3,4,4,3,4,3,3
7246000,1,43,13,3,2,.,.,8,0,3,4,6,5,7,5,4,4,4,6,4,4,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3
7257624,0,49,27,5,2,5,4,3,0,5,4,5,4,4,4,4,4,4,5,5,4,4,5,4,4,4,2,5,3,4,2,5,3,4,3,5,2,5,2,5,2,5
7267732,1,49,27,5,2,5,1,9,0,3,3,5,3,5,4,3,3,3,5,3,5,4,4,4,4,4,2,5,2,3,3,3,3,4,2,4,3,5,2,2,2,5
7278930,1,46,5,2,2,4,1,9,0,4,7,5,6,5,5,5,5,5,6,6,6,3,3,3,2,3,4,4,3,3,3,3,4,3,4,3,5,3,3,3,4,3
7290793,0,49,46,8,2,3,2,4,1,4,5,7,6,7,6,6,5,4,6,6,4,3,4,4,4,4,2,4,3,3,3,2,3,4,3,3,3,4,4,3,3,4
7295975,1,42,12,3,2,.,.,8,0,3,1,5,5,6,4,4,3,2,7,3,6,4,6,4,4,2,4,5,1,2,1,2,4,4,4,2,3,4,2,1,4,4
7303803,0,46,13,3,2,4,3,3,1,4,1,5,1,5,2,4,4,4,6,4,4,4,4,4,5,4,2,5,2,4,1,4,2,4,1,4,3,4,3,4,2,4
7317247,1,45,12,3,2,6,1,9,0,5,5,3,4,1,3,5,3,5,7,5,5,3,3,3,4,4,1,4,1,3,2,2,2,3,1,4,1,3,1,2,2,2
7324015,1,45,14,3,2,4,2,3,0,6,4,4,1,4,5,6,4,4,6,6,6,5,5,2,6,4,1,1,1,1,1,1,5,5,2,2,2,2,5,2,2,2
7340604,0,50,23,4,2,5,5,3,1,6,4,5,4,5,5,6,6,4,6,4,4,3,3,4,4,3,2,4,2,3,3,3,3,3,3,3,3,3,2,3,2,2
7356712,1,47,11,3,2,3,1,8,1,7,6,6,5,7,5,5,6,5,7,5,6,6,6,5,3,4,1,5,1,5,1,3,4,4,4,5,3,6,2,5,2,3
7419201,1,44,20,4,2,4,1,9,0,4,1,5,3,7,5,7,5,3,7,2,5,6,6,6,6,6,2,6,2,5,1,5,2,5,2,5,1,6,1,4,1,4
7429983,1,46,11,3,2,2,1,9,0,4,4,6,5,7,6,4,5,4,6,3,6,2,2,2,2,2,3,4,3,3,2,3,4,4,4,3,5,4,3,3,5,3
7431914,1,47,27,5,2,4,1,9,0,6,5,6,3,7,2,4,2,2,7,4,2,3,3,5,4,4,1,4,1,3,2,4,4,5,5,5,3,4,2,5,3,3
7438063,1,40,46,8,2,3,1,9,1,6,4,6,6,6,6,4,7,3,7,5,7,3,3,3,3,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3
7453302,1,46,5,2,1,3,1,8,0,2,2,4,3,6,2,2,2,2,7,5,4,5,6,3,6,3,5,5,2,2,2,4,2,3,2,5,2,5,2,3,4,3
7473697,1,45,26,5,2,4,1,9,0,5,3,3,5,6,5,4,5,4,7,5,5,5,4,5,5,4,2,4,2,3,2,2,3,4,2,4,2,4,3,3,4,4
7629279,0,47,11,3,2,3,3,4,0,5,5,3,4,5,4,7,4,3,5,4,4,4,4,3,3,2,3,4,3,3,3,3,3,4,5,4,3,3,3,3,3,3
7651937,0,44,1,1,2,5,4,1,1,5,5,5,6,4,4,4,4,4,4,4,4,2,2,4,2,2,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
7768055,0,47,14,3,2,4,4,3,1,5,3,5,2,6,2,2,2,6,6,7,6,5,6,5,5,5,2,5,1,6,1,5,1,5,1,5,1,6,2,5,2,5
7777745,1,45,27,5,2,3,1,9,1,5,5,5,7,6,7,6,7,5,7,6,7,4,2,3,1,1,4,2,2,2,2,2,5,2,2,6,4,1,1,1,6,6
7806488,1,47,23,4,2,.,.,8,0,6,5,6,5,5,5,5,4,3,5,5,3,5,5,4,4,4,2,4,2,5,2,3,4,6,3,4,5,4,2,4,4,2
7817659,1,46,27,5,2,4,1,8,1,6,4,6,4,6,4,6,5,4,6,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3
7822966,0,52,28,5,2,4,4,4,1,3,3,3,4,4,2,4,3,4,4,3,4,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3
7826198,1,46,12,3,2,6,1,8,0,2,5,2,4,6,5,6,4,4,5,5,3,5,5,4,3,4,1,4,1,3,1,2,1,3,1,3,1,4,1,3,1,2
7837073,1,41,15,4,2,.,.,9,1,5,4,4,4,6,5,5,5,4,5,3,5,3,2,2,2,3,2,3,1,2,2,5,4,5,3,4,4,4,4,5,5,2
7839279,1,44,24,4,2,3,1,9,1,4,1,7,4,7,1,4,1,4,7,1,7,3,6,3,6,4,1,6,1,3,1,6,5,5,5,1,1,5,1,1,2,2
7876326,0,42,11,3,2,2,2,5,1,5,2,2,2,4,5,5,5,4,4,5,3,5,5,5,5,5,3,3,2,3,3,4,3,4,3,4,3,4,4,3,3,3
7884393,0,45,29,5,2,6,6,3,0,4,4,3,6,5,5,4,6,4,1,4,3,4,4,4,4,3,2,4,2,3,3,3,3,4,2,3,2,2,2,3,2,2
7907184,1,47,28,5,2,4,1,8,1,5,5,5,4,6,4,4,4,4,5,4,5,4,4,4,4,4,1,4,1,4,1,4,4,5,1,4,6,5,3,3,5,5
7915181,0,57,22,4,2,2,2,5,1,4,5,5,6,6,6,5,4,4,5,4,6,2,3,2,3,2,5,3,4,3,3,3,4,3,4,3,3,3,3,3,3,2
7923823,1,37,41,8,2,3,1,8,1,4,5,5,4,5,4,3,4,3,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,6,6,3,4,4,3,3,5,5
7931674,1,46,8,3,2,5,2,11,1,5,5,7,5,7,5,7,5,4,7,5,5,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,3,4,4,3,4,3
8007810,1,47,3,2,2,10,1,8,1,5,4,3,4,6,6,6,4,5,5,4,2,4,3,2,4,2,3,3,2,3,3,2,4,4,3,3,5,4,1,2,4,2
8040938,1,54,47,8,2,4,1,9,1,4,4,5,4,4,5,4,3,5,5,5,5,3,3,3,3,2,2,3,1,2,2,4,3,3,3,3,4,2,2,3,5,3
8056999,0,52,37,7,2,9,6,4,0,7,7,7,7,7,7,7,7,7,7,7,7,3,2,2,2,2,5,4,4,5,6,2,5,2,2,4,3,2,5,1,2,1
8085458,0,49,37,7,2,4,4,6,0,4,4,5,4,4,4,4,4,4,5,4,4,4,4,2,5,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,4,3
8109598,1,43,4,2,1,1,1,9,0,4,1,4,2,5,4,4,3,4,7,4,5,4,4,3,5,2,1,3,2,2,2,2,2,2,2,1,1,3,1,2,1,1
8119760,1,44,13,3,2,10,10,8,1,2,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2
8181950,0,43,27,5,2,3,3,4,1,1,1,4,1,6,6,7,5,4,7,6,5,4,4,4,4,4,2,4,1,2,2,1,2,4,4,4,2,2,2,2,2,2
8188074,1,43,4,2,2,.,1,8,1,5,3,7,4,6,5,4,4,5,6,6,4,4,4,2,2,2,3,4,3,3,3,3,3,2,3,4,3,3,3,3,4,2
8206273,0,49,11,3,2,5,4,5,1,4,3,4,4,4,5,4,4,5,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4
8522991,0,48,18,4,2,4,4,5,1,3,4,6,5,5,5,4,4,4,6,5,5,4,4,3,4,4,2,4,2,2,3,3,3,3,3,2,2,4,3,3,3,3
8642233,1,50,40,8,2,5,2,9,0,7,5,6,2,6,1,4,1,2,7,4,4,5,5,6,6,6,1,4,1,4,1,4,5,5,4,4,5,5,1,4,3,4
8644679,0,48,13,3,2,4,4,3,0,2,6,4,6,4,7,2,6,4,6,2,4,4,4,3,2,3,4,5,3,2,4,2,4,4,3,3,4,5,2,3,5,2
8646874,0,49,14,3,2,6,6,3,0,4,4,4,5,4,5,4,4,4,5,5,5,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,4,4,3,3,4,3
8658487,1,41,27,5,2,4,1,8,1,7,4,6,6,7,6,6,5,6,7,6,6,5,4,5,4,4,2,5,2,4,2,4,4,5,4,3,4,4,3,4,5,3
8664765,0,45,27,5,2,5,4,5,1,5,5,6,6,6,5,4,4,4,6,6,6,4,4,4,3,3,2,2,2,3,2,3,4,4,4,4,4,3,3,3,2,2
8676483,0,57,23,4,2,1,10,12,0,4,4,4,4,4,4,4,4,4,4,4,4,5,5,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8688428,0,52,27,5,2,6,2,5,0,4,3,5,3,6,6,6,6,4,4,5,5,4,4,5,5,5,1,4,1,4,2,4,4,5,3,4,3,5,4,4,3,4
8698173,0,45,20,4,2,4,3,4,1,5,6,6,5,7,6,6,6,5,5,6,5,3,4,4,4,3,3,3,3,3,3,4,3,4,4,4,4,5,4,4,5,3
8701037,0,48,43,8,2,3,2,5,1,5,5,6,5,4,6,4,3,3,6,6,3,2,2,3,2,2,4,3,4,3,4,3,5,4,4,4,4,3,4,3,5,3
8725602,1,44,37,7,2,7,4,1,0,4,1,5,1,6,5,5,5,5,5,5,3,2,1,3,2,2,2,4,2,2,2,3,6,4,6,3,5,2,2,2,3,3
8754939,1,49,21,4,2,3,1,8,0,3,3,5,5,7,6,2,4,4,5,2,5,3,4,2,5,2,2,5,2,4,2,4,2,5,3,4,4,4,2,2,4,4
8804593,1,50,15,4,2,3,1,9,1,6,6,7,5,6,5,7,5,5,6,5,4,3,2,2,3,2,4,3,4,3,4,3,5,3,4,3,4,3,3,3,4,2
8833281,0,53,35,6,2,4,2,4,1,4,6,4,5,4,5,4,4,5,4,4,4,2,2,2,2,2,4,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3
8873237,1,42,25,5,2,5,1,8,1,5,1,7,4,7,4,6,4,3,7,1,4,3,3,6,5,5,1,6,1,5,1,4,2,6,2,6,3,6,1,4,3,5
8902428,1,46,40,8,2,5,1,8,0,3,3,5,3,3,2,2,3,4,1,2,5,4,5,3,2,3,1,3,1,4,1,2,4,3,1,5,3,3,1,3,3,1
8902460,1,49,42,8,2,4,1,8,0,4,4,5,5,4,4,4,4,4,5,4,4,2,3,2,3,2,2,4,1,4,1,2,4,3,4,3,3,3,2,3,3,3
8951406,1,44,26,5,2,.,.,8,1,5,2,6,5,7,7,7,7,4,7,3,5,2,1,5,2,2,2,5,2,5,4,5,4,6,5,3,5,5,5,5,3,3
8980566,1,54,1,1,2,4,1,8,0,4,4,4,4,5,5,4,4,3,5,3,4,3,3,4,3,3,2,4,2,3,2,4,2,4,3,3,2,2,2,3,4,2
8981718,0,46,13,3,2,6,.,3,0,3,3,4,4,5,5,4,4,4,5,4,5,3,3,4,3,3,4,3,4,3,4,4,4,3,3,3,3,4,3,3,4,3
9001536,1,46,8,3,2,.,.,9,0,5,3,4,3,2,7,6,7,6,6,6,3,2,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9006188,0,47,21,4,2,3,2,5,1,4,6,1,1,7,7,7,1,7,7,7,7,2,4,1,4,3,4,2,3,2,3,2,3,3,2,3,3,3,3,3,3,2
9007880,0,50,28,5,2,3,3,5,1,6,4,7,7,4,7,3,6,6,7,4,7,4,3,3,3,2,3,4,3,2,2,3,4,4,3,3,3,3,2,3,2,2
9036860,0,40,15,4,2,3,3,3,0,5,4,4,4,5,3,4,3,6,2,2,5,3,3,4,3,3,4,4,3,3,4,3,4,4,4,3,3,2,3,3,4,4
9046122,1,46,23,4,2,.,1,9,0,4,5,6,4,7,6,3,4,6,7,4,5,4,2,2,2,2,3,3,1,3,1,3,3,1,4,2,1,4,2,3,2,2
9065702,0,47,13,3,2,3,3,5,1,4,4,5,4,3,3,4,3,4,2,4,6,3,3,3,3,4,2,4,2,4,2,5,4,3,2,4,4,4,2,3,3,3
9100522,1,47,40,8,2,10,1,8,0,4,4,5,5,5,7,5,7,7,7,4,5,2,5,1,3,1,2,2,2,1,2,2,4,1,4,1,4,1,2,2,5,3
9134205,0,44,13,3,2,3,.,3,0,4,1,4,2,5,5,5,4,3,6,3,4,4,4,4,4,3,2,3,2,4,2,3,2,3,3,3,2,3,3,3,3,3
9146188,1,45,26,5,2,4,1,8,0,2,6,2,6,5,6,4,6,5,5,6,5,1,2,2,2,2,3,3,2,2,4,3,5,4,5,2,5,3,4,2,5,3
9164184,0,51,20,4,2,4,3,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,3,3
9179603,0,47,23,4,2,4,2,5,0,4,4,4,5,3,3,4,4,4,5,4,3,3,4,4,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,4,3
9190746,0,42,23,4,2,3,2,4,1,5,6,6,4,6,6,4,5,7,6,4,6,4,5,4,3,3,2,5,2,4,2,5,4,5,5,5,4,5,5,5,5,5
9212467,1,46,11,3,2,5,1,8,0,5,5,3,3,4,5,6,5,4,5,5,3,5,5,5,3,4,3,4,2,4,3,4,4,4,4,4,4,5,3,4,3,4
9216497,1,38,40,8,2,5,2,5,0,5,3,7,3,7,4,3,5,4,7,5,5,4,3,3,4,2,4,5,2,3,2,4,4,6,5,3,6,4,4,3,5,3
9218784,0,45,24,4,2,4,4,5,1,5,4,5,3,5,5,5,5,3,6,3,6,5,5,5,5,4,2,5,2,4,2,3,3,3,3,3,3,4,3,3,3,3
9247140,1,34,40,8,2,3,3,10,1,2,2,3,3,2,3,3,4,3,3,3,3,4,3,4,4,3,3,4,4,3,4,3,3,4,2,4,3,4,2,3,4,2
9249895,0,45,25,5,2,5,4,1,0,2,4,3,1,4,7,6,2,4,7,6,7,4,4,2,5,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,4,1
9270236,1,39,14,3,2,4,1,8,1,5,3,5,4,5,4,5,3,4,5,4,4,4,5,4,5,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3
9322702,1,46,8,3,2,5,1,8,0,3,3,6,5,6,7,3,4,4,7,5,5,5,5,4,3,4,1,5,1,4,3,4,4,4,4,3,3,5,3,2,4,4
9329584,0,36,35,6,2,4,4,5,1,3,5,5,5,6,5,6,6,6,7,5,6,5,4,4,4,5,2,5,2,4,2,3,2,4,3,4,2,4,3,3,2,3
9331283,1,50,13,3,2,3,1,9,0,4,5,4,5,7,6,4,5,6,7,4,5,4,4,3,5,4,2,3,2,4,2,4,2,3,3,3,2,4,2,2,2,2
9342112,0,48,27,5,2,.,.,4,0,4,2,3,3,6,5,6,4,4,6,3,5,6,5,2,4,3,2,3,2,3,2,2,2,4,3,3,2,3,4,4,2,2
